open_time,open,high,low,close,volume
2025-07-05 16:00:00,654.13,654.66,652.33,653.52,9327.31
2025-07-05 17:00:00,653.52,653.98,651.76,653.31,8282.48
2025-07-05 18:00:00,653.31,653.32,652.06,652.44,6120.15
2025-07-05 19:00:00,652.44,653.9,651.72,653.79,4055.58
2025-07-05 20:00:00,653.79,654.74,653.56,654.74,4090.87
2025-07-05 21:00:00,654.74,655.73,654.24,655.6,5284.75
2025-07-05 22:00:00,655.6,656.1,655.05,656.06,4857.64
2025-07-05 23:00:00,656.07,656.3,655.6,655.99,4763.41
2025-07-06 00:00:00,656.0,656.62,655.76,656.52,6808.56
2025-07-06 01:00:00,656.52,656.52,655.4,655.66,4732.88
2025-07-06 02:00:00,655.66,656.0,654.57,654.57,4058.45
2025-07-06 03:00:00,654.57,654.8,654.27,654.7,4330.83
2025-07-06 04:00:00,654.69,655.26,653.53,653.79,6680.96
2025-07-06 05:00:00,653.79,654.08,653.41,653.97,3688.98
2025-07-06 06:00:00,653.98,655.82,653.65,655.1,6398.15
2025-07-06 07:00:00,655.09,655.29,654.48,654.55,3955.38
2025-07-06 08:00:00,654.54,654.79,653.22,654.49,7389.08
2025-07-06 09:00:00,654.49,654.54,653.68,653.68,4363.91
2025-07-06 10:00:00,653.68,654.66,653.56,654.44,4162.09
2025-07-06 11:00:00,654.44,656.26,654.32,656.26,5743.19
2025-07-06 12:00:00,656.26,657.5,655.41,657.48,10251.47
2025-07-06 13:00:00,657.47,662.0,657.25,661.4,37360.1
2025-07-06 14:00:00,661.4,662.73,659.62,661.22,31070.85
2025-07-06 15:00:00,661.23,663.88,661.23,662.96,31799.15
2025-07-06 16:00:00,662.96,663.46,662.33,663.41,11583.11
2025-07-06 17:00:00,663.42,663.68,662.56,662.92,8510.77
2025-07-06 18:00:00,662.93,663.49,661.36,662.44,16870.75
2025-07-06 19:00:00,662.43,663.74,662.34,663.24,9428.57
2025-07-06 20:00:00,663.24,663.97,660.49,661.07,19281.2
2025-07-06 21:00:00,661.07,664.89,661.03,662.75,19391.94
2025-07-06 22:00:00,662.76,664.78,662.76,663.8,10311.18
2025-07-06 23:00:00,663.8,663.92,662.02,663.12,17149.37
2025-07-07 00:00:00,663.12,663.2,661.02,661.4,10621.04
2025-07-07 01:00:00,661.39,661.7,660.26,661.17,7004.23
2025-07-07 02:00:00,661.18,663.1,661.17,661.81,8101.66
2025-07-07 03:00:00,661.81,663.16,660.64,660.71,7419.38
2025-07-07 04:00:00,660.71,661.36,660.48,661.04,7001.42
2025-07-07 05:00:00,661.04,661.55,660.68,661.17,5712.85
2025-07-07 06:00:00,661.17,661.8,660.83,661.18,7487.65
2025-07-07 07:00:00,661.19,662.5,660.66,662.5,9399.27
2025-07-07 08:00:00,662.49,663.04,661.65,662.98,11022.26
2025-07-07 09:00:00,662.98,663.1,661.53,661.9,12162.7
2025-07-07 10:00:00,661.9,663.05,661.4,661.62,14892.29
2025-07-07 11:00:00,661.62,662.46,661.24,662.17,6011.33
2025-07-07 12:00:00,662.17,662.17,660.62,661.33,9168.28
2025-07-07 13:00:00,661.33,662.5,660.05,662.43,14648.05
2025-07-07 14:00:00,662.42,662.64,659.01,659.68,14808.69
2025-07-07 15:00:00,659.68,660.67,658.73,658.81,8403.09
2025-07-07 16:00:00,658.81,659.6,656.5,657.21,19455.91
2025-07-07 17:00:00,657.2,659.72,656.7,658.95,10177.73
2025-07-07 18:00:00,658.95,661.08,658.2,660.81,18091.81
2025-07-07 19:00:00,660.82,661.82,660.51,661.4,10806.08
2025-07-07 20:00:00,661.4,661.4,658.8,659.21,10373.53
2025-07-07 21:00:00,659.2,660.43,657.8,660.13,7840.08
2025-07-07 22:00:00,660.14,660.38,659.42,660.18,4549.41
2025-07-07 23:00:00,660.18,661.23,660.14,661.04,4984.33
2025-07-08 00:00:00,661.05,662.64,660.95,661.31,11859.4
2025-07-08 01:00:00,661.31,661.32,658.48,658.68,9101.61
2025-07-08 02:00:00,658.67,659.9,657.47,658.28,14757.12
2025-07-08 03:00:00,658.28,659.98,658.2,659.92,6350.04
2025-07-08 04:00:00,659.92,659.97,658.7,659.69,9252.87
2025-07-08 05:00:00,659.69,660.27,658.8,659.65,7482.52
2025-07-08 06:00:00,659.65,660.5,659.46,660.12,8165.08
2025-07-08 07:00:00,660.13,660.5,659.47,659.84,6568.14
2025-07-08 08:00:00,659.83,660.94,659.77,660.58,9417.39
2025-07-08 09:00:00,660.58,661.22,659.82,659.99,14191.12
2025-07-08 10:00:00,659.99,661.07,659.18,659.99,18535.75
2025-07-08 11:00:00,659.99,661.62,659.99,661.2,8412.64
2025-07-08 12:00:00,661.21,661.54,660.12,661.27,7990.85
2025-07-08 13:00:00,661.27,661.9,660.06,661.57,9730.86
2025-07-08 14:00:00,661.56,661.57,658.04,658.35,13973.49
